"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Roanoke County, VA"	"51161"	1154	457356	252.3	170.7
	"Rockbridge County, VA"	"51163"	338	109473	308.8	172.5
	"Rockingham County, VA"	"51165"	884	395090	223.7	162.6
	"Russell County, VA"	"51167"	626	131402	476.4	310.7
	"Scott County, VA"	"51169"	521	105544	493.6	295.7
	"Shenandoah County, VA"	"51171"	667	211884	314.8	201.8
	"Smyth County, VA"	"51173"	699	148179	471.7	306.8
	"Southampton County, VA"	"51175"	286	86620	330.2	220.5
	"Spotsylvania County, VA"	"51177"	1347	663785	202.9	184.7
	"Stafford County, VA"	"51179"	1048	743685	140.9	159.4
	"Surry County, VA"	"51181"	132	31641	417.2	265.7
	"Sussex County, VA"	"51183"	200	55035	363.4	277.6
	"Tazewell County, VA"	"51185"	992	199813	496.5	326.6
	"Warren County, VA"	"51187"	548	196243	279.2	224.1
	"Washington County, VA"	"51191"	995	264323	376.4	235.6
	"Westmoreland County, VA"	"51193"	329	87143	377.5	206.4
	"Wise County, VA"	"51195"	844	187018	451.3	345.5
	"Wythe County, VA"	"51197"	634	140570	451.0	290.4
	"York County, VA"	"51199"	561	334836	167.5	137.8
	"Alexandria city, VA"	"51510"	920	783339	117.4	129.4
	"Bristol city, VA"	"51520"	445	82048	542.4	376.7
	"Buena Vista city, VA"	"51530"	128	31207	410.2	331.8
	"Charlottesville city, VA"	"51540"	357	234315	152.4	169.1
	"Chesapeake city, VA"	"51550"	2612	1196116	218.4	209.4
	"Colonial Heights city, VA"	"51570"	310	85227	363.7	264.9
	"Covington city, VA"	"51580"	156	27028	577.2	421.6
	"Danville city, VA"	"51590"	934	197122	473.8	341.4
	"Emporia city, VA"	"51595"	126	25292	498.2	399.3
	"Fairfax city, VA"	"51600"	267	117705	226.8	201.5
	"Falls Church city, VA"	"51610"	98	71563	136.9	137.1
	"Franklin city, VA"	"51620"	200	39202	510.2	384.1
	"Fredericksburg city, VA"	"51630"	256	142382	179.8	200.7
	"Galax city, VA"	"51640"	215	31195	689.2	506.5
	"Hampton city, VA"	"51650"	1952	662653	294.6	252.5
	"Harrisonburg city, VA"	"51660"	333	263515	126.4	179.6
	"Hopewell city, VA"	"51670"	488	110680	440.9	377.2
	"Lexington city, VA"	"51678"	82	35064	233.9	245.0
	"Lynchburg city, VA"	"51680"	1006	397252	253.2	254.8
	"Manassas city, VA"	"51683"	354	204635	173.0	201.1
	"Manassas Park city, VA"	"51685"	61	84636	72.1	108.6
	"Martinsville city, VA"	"51690"	413	62872	656.9	470.3
	"Newport News city, VA"	"51700"	2332	883597	263.9	257.2
	"Norfolk city, VA"	"51710"	2958	1202017	246.1	278.4
	"Norton city, VA"	"51720"	86	19271	446.3	336.4
	"Petersburg city, VA"	"51730"	809	153466	527.2	436.6
	"Poquoson city, VA"	"51735"	167	59581	280.3	190.7
	"Portsmouth city, VA"	"51740"	1552	465068	333.7	299.1
	"Radford city, VA"	"51750"	161	88937	181.0	254.7
	"Richmond city, VA"	"51760"	2650	1121077	236.4	237.5
	"Roanoke city, VA"	"51770"	1597	486022	328.6	274.9
	"Salem city, VA"	"51775"	459	124489	368.7	268.0
	"Staunton city, VA"	"51790"	483	120287	401.5	273.6
	"Suffolk city, VA"	"51800"	1122	449340	249.7	222.9
	"Virginia Beach city, VA"	"51810"	4120	2216138	185.9	173.3
	"Waynesboro city, VA"	"51820"	370	109554	337.7	258.7
	"Williamsburg city, VA"	"51830"	98	73908	132.6	119.3
	"Winchester city, VA"	"51840"	371	136492	271.8	230.4
	"Adams County, WA"	"53001"	159	97244	163.5	183.8
	"Asotin County, WA"	"53003"	398	109604	363.1	222.9
	"Benton County, WA"	"53005"	2059	987759	208.5	188.3
	"Chelan County, WA"	"53007"	805	375424	214.4	158.2
	"Clallam County, WA"	"53009"	1261	368863	341.9	183.2
	"Clark County, WA"	"53011"	4824	2370818	203.5	178.2
	"Columbia County, WA"	"53013"	86	19382	443.7	243.9
	"Cowlitz County, WA"	"53015"	1963	531710	369.2	270.0
	"Douglas County, WA"	"53017"	442	208953	211.5	164.6
	"Ferry County, WA"	"53019"	147	37379	393.3	214.4
	"Franklin County, WA"	"53021"	622	464968	133.8	179.4
	"Garfield County, WA"	"53023"	31	10771	287.8	165.1
	"Grant County, WA"	"53025"	1086	475570	228.4	222.5
	"Grays Harbor County, WA"	"53027"	1453	361398	402.0	265.5
	"Island County, WA"	"53029"	1069	410968	260.1	164.0
	"Jefferson County, WA"	"53031"	479	153801	311.4	144.2
	"King County, WA"	"53033"	16109	10907900	147.7	146.8
	"Kitsap County, WA"	"53035"	3160	1320108	239.4	188.3
	"Kittitas County, WA"	"53037"	431	231598	186.1	159.6
	"Klickitat County, WA"	"53039"	343	107982	317.6	194.1
	"Lewis County, WA"	"53041"	1435	389011	368.9	243.9
	"Lincoln County, WA"	"53043"	198	52001	380.8	221.8
	"Mason County, WA"	"53045"	1012	319778	316.5	195.8
	"Okanogan County, WA"	"53047"	697	205738	338.8	225.7
	"Pacific County, WA"	"53049"	532	107251	496.0	248.1
	"Pend Oreille County, WA"	"53051"	247	66488	371.5	220.0
	"Pierce County, WA"	"53053"	9943	4379225	227.0	213.7
	"San Juan County, WA"	"53055"	152	82737	183.7	82.2
	"Skagit County, WA"	"53057"	1603	622407	257.5	179.4
	"Skamania County, WA"	"53059"	139	58160	239.0	165.9
	"Snohomish County, WA"	"53061"	7497	3996236	187.6	178.9
	"Spokane County, WA"	"53063"	5977	2521728	237.0	201.2
	"Stevens County, WA"	"53065"	742	221808	334.5	203.2
	"Thurston County, WA"	"53067"	3117	1400403	222.6	179.0
	"Wahkiakum County, WA"	"53069"	89	21167	420.5	204.3
	"Walla Walla County, WA"	"53071"	668	295510	226.0	181.2
	"Whatcom County, WA"	"53073"	2182	1102758	197.9	162.6
	"Whitman County, WA"	"53075"	378	243909	155.0	198.0
	"Yakima County, WA"	"53077"	2725	1232076	221.2	214.3
	"Barbour County, WV"	"54001"	298	80914	368.3	255.7
	"Berkeley County, WV"	"54003"	1634	579783	281.8	245.9
	"Boone County, WV"	"54005"	552	107631	512.9	364.4
	"Braxton County, WV"	"54007"	286	68772	415.9	265.3
	"Brooke County, WV"	"54009"	504	107808	467.5	291.4
	"Cabell County, WV"	"54011"	1745	456730	382.1	294.1
	"Calhoun County, WV"	"54013"	148	35006	422.8	255.2
	"Clay County, WV"	"54015"	189	42143	448.5	300.8
	"Doddridge County, WV"	"54017"	144	41342	348.3	235.8
	"Fayette County, WV"	"54019"	1067	210170	507.7	350.1
	"Gilmer County, WV"	"54021"	176	38866	452.8	356.8
	"Grant County, WV"	"54023"	211	56473	373.6	212.7
	"Greenbrier County, WV"	"54025"	704	169777	414.7	254.7
	"Hampshire County, WV"	"54027"	441	113955	387.0	251.9
	"Hancock County, WV"	"54029"	644	141007	456.7	288.6
	"Hardy County, WV"	"54031"	227	67494	336.3	217.7
	"Harrison County, WV"	"54033"	1384	329573	419.9	300.5
	"Jackson County, WV"	"54035"	573	140524	407.8	269.6
	"Jefferson County, WV"	"54037"	762	280034	272.1	218.6
	"Kanawha County, WV"	"54039"	3704	882185	419.9	290.9
	"Lewis County, WV"	"54041"	412	78592	524.2	367.3
	"Lincoln County, WV"	"54043"	467	101404	460.5	325.1
	"Logan County, WV"	"54045"	982	159867	614.3	425.7
	"McDowell County, WV"	"54047"	597	88214	676.8	443.7
	"Marion County, WV"	"54049"	1074	274296	391.5	286.1
	"Marshall County, WV"	"54051"	649	150474	431.3	278.6
